blur,exposure,resolution,mean_U_image,corr_with_error,n
0.45,0.35,0.2,0.5630902359096204,-0.12453659674653834,53
0.6,0.25,0.15,0.6742157800326111,-0.14518017081282478,53
0.34,0.33,0.33,0.4486136527879494,-0.11243738062511652,53
0.5,0.3,0.2,0.5942419915521392,-0.1354492441197746,53
