path,n_samples,mean_api_calls_per_sample,mean_local_latency_ms,mean_api_latency_ms,p95_api_latency_ms,total_prompt_tokens,total_output_tokens,estimated_cost_usd
fast,45,1.0,62.565193866622494,1553.7875619111016,5402.926125199973,18075,1073,0.008105000000000001
borderline,38,6.0,61.8860401052404,29880.70328768428,69147.34850095009,265100,15140,0.11738000000000001
