res_min,res_max,mean_U_image,corr_with_error,n
600,2500,0.5630902359096204,-0.12453659674653834,53
700,2800,0.5630902359096204,-0.12453659674653834,53
800,3000,0.5630902359096204,-0.12453659674653834,53
900,3200,0.5630902359096204,-0.12453659674653834,53
1000,3500,0.5830902359096204,-0.12453659674653834,53
