baseline,n,ece,brier,auroc
Raw single-call confidence,38,0.22236842105263177,0.22506578947368416,0.7432950191570882
Fused composite (UAVI),38,0.08135485312388349,0.13662325779712062,0.7854406130268198
Semantic entropy (label distribution),38,0.09074819359286561,0.13077217595121493,0.7911877394636013
