tau,n_repeat_used,n_samples,n_borderline_resolved,accuracy,ece
0.05,1,53,3,0.8301886792452831,0.15943396226415119
0.05,2,53,3,0.8490566037735849,0.1405660377358493
0.05,3,53,3,0.8490566037735849,0.1405660377358493
0.05,4,53,3,0.8490566037735849,0.1405660377358493
0.05,5,53,3,0.8490566037735849,0.1405660377358493
0.1,1,53,0,0.8301886792452831,0.15943396226415119
0.1,2,53,0,0.8301886792452831,0.15943396226415119
0.1,3,53,0,0.8301886792452831,0.15943396226415119
0.1,4,53,0,0.8301886792452831,0.15943396226415119
0.1,5,53,0,0.8301886792452831,0.15943396226415119
0.15,1,53,0,0.8301886792452831,0.15943396226415119
0.15,2,53,0,0.8301886792452831,0.15943396226415119
0.15,3,53,0,0.8301886792452831,0.15943396226415119
0.15,4,53,0,0.8301886792452831,0.15943396226415119
0.15,5,53,0,0.8301886792452831,0.15943396226415119
0.2,1,53,0,0.8301886792452831,0.15943396226415119
0.2,2,53,0,0.8301886792452831,0.15943396226415119
0.2,3,53,0,0.8301886792452831,0.15943396226415119
0.2,4,53,0,0.8301886792452831,0.15943396226415119
0.2,5,53,0,0.8301886792452831,0.15943396226415119
0.25,1,53,0,0.8301886792452831,0.15943396226415119
0.25,2,53,0,0.8301886792452831,0.15943396226415119
0.25,3,53,0,0.8301886792452831,0.15943396226415119
0.25,4,53,0,0.8301886792452831,0.15943396226415119
0.25,5,53,0,0.8301886792452831,0.15943396226415119
