laplacian_norm,mean_U_image,corr_with_error,n
500,0.541886826992779,-0.15113998195315614,53
800,0.5538137445085023,-0.14526535239487692,53
1000,0.55778938368041,-0.14005399325995443,53
1200,0.5604398097950152,-0.13413602742659592,53
1500,0.5630902359096204,-0.12453659674653834,53
2000,0.5657406620242255,-0.10838425660614247,53
2500,0.5673309176929886,-0.09369307515303317,53
3000,0.5683910881388307,-0.08111794964287986,53
